wallet_id,user_id,chain,address,wallet_type,is_primary,created_at,updated_at
1,1,polygon,0xd601b6c1a55a4b41990f3bfce0878fa0,non_custodial,True,2026-02-13T14:31:50+00:00,2026-02-13T14:31:50+00:00
2,1,base,0x3717948ceb6541c9933f3438cf25a193,non_custodial,False,2026-02-14T21:18:50+00:00,2026-02-14T21:18:50+00:00
3,1,arbitrum,0x6f28eee559ea423797219caf8c68c40b,non_custodial,False,2026-02-14T22:37:50+00:00,2026-02-14T22:37:50+00:00
4,2,bsc,0x21ee5c94d70e487eb6c95fd9afeb0723,non_custodial,True,2026-04-08T03:54:27+00:00,2026-04-08T03:54:27+00:00
5,2,base,0x8c6f688a88fb41328f23d479a203d96f,non_custodial,False,2026-04-09T00:00:27+00:00,2026-04-09T00:00:27+00:00
6,3,bsc,0x61b1718fd4424d0dadf1c0efc1365770,non_custodial,True,2026-08-03T14:38:04+00:00,2026-08-03T14:38:04+00:00
7,3,base,0x08c0e35a92bb4edcad084b3115819cda,non_custodial,False,2026-07-31T22:46:04+00:00,2026-07-31T22:46:04+00:00
8,4,polygon,0x35a409d9a8384d88a83431c8b0ed9cc0,non_custodial,True,2026-01-13T20:00:09+00:00,2026-01-13T20:00:09+00:00
9,4,base,0x985eda336a6d4fa4be9bc8be85c7c6a1,non_custodial,False,2026-01-13T17:12:09+00:00,2026-01-13T17:12:09+00:00
10,4,bsc,0x5d9da0bf9f7b4acb9e985a8a5d2fd576,non_custodial,False,2026-01-15T02:27:09+00:00,2026-01-15T02:27:09+00:00
11,4,ethereum,0x6f2ee97ef30e483c9bfe32a30f597f94,non_custodial,False,2026-01-15T14:35:09+00:00,2026-01-15T14:35:09+00:00
12,5,base,0xac557477fcd1437d9be5ad99f0e5d22f,non_custodial,True,2026-04-01T18:37:24+00:00,2026-04-01T18:37:24+00:00
13,5,arbitrum,0x4b9f737ec3a64e3abb1ac53590d9523b,non_custodial,False,2026-04-02T01:39:24+00:00,2026-04-02T01:39:24+00:00
14,5,bsc,0x0277902b784e4fcbb8c787fe6463805e,non_custodial,False,2026-04-03T03:50:24+00:00,2026-04-03T03:50:24+00:00
